rank,country,uid,name,accuracy,play count,level,pp,SS,S,A
1,kr,124493,Cookiezi,98.90%,13831,100,13318,50,412,303
2,kr,1777162,Angelsim,98.86%,123351,103,12942,159,1361,664
3,pl,2558286,Rafis,99.02%,204146,103,12857,169,1627,762
4,us,4787150,Vaxei,98.01%,88067,100,12648,32,514,534
5,tw,50265,hvick225,98.93%,134045,102,12421,826,3463,700
6,fr,2831793,Igorr,98.59%,112622,102,12121,194,1498,587
7,ru,652457,_index,98.74%,55983,102,11311,425,1495,472
8,de,754565,Dustice,98.89%,83369,101,11206,109,2239,1325
9,gb,2204373,Spare,99.21%,55766,101,11058,305,1156,825
10,us,1419095,Gayzmcgee,99.24%,78051,101,11010,29,655,701
11,ro,3219026,Rohulk,99.24%,34225,102,10819,39,1593,1745
12,us,256802,HappyStick,98.57%,167791,104,10809,132,2135,477
13,fr,251683,Musty,99.26%,99682,102,10755,108,1677,1291
14,fi,3110552,Sanze,99.18%,153091,101,10714,110,1359,1032
15,jp,4183454,-Zirba-,98.83%,78811,100,10655,40,828,807
16,us,2757689,Toy,99.43%,165487,103,10626,2661,2874,639
17,pt,4495871,Mizuru,99.08%,80649,101,10612,83,897,930
18,us,2614511,Axarious,97.24%,62671,101,10610,35,852,467
19,jp,1787027,Recia,98.86%,96765,103,10591,653,2606,172
20,cl,3069354,DanyL,97.38%,74468,101,10545,79,784,279
21,pl,2021758,Wilchq,99.31%,76712,105,10545,1145,3233,249
22,ru,1389663,talala,98.62%,186071,103,10524,127,2325,1476
23,lt,2562987,Azerite,98.36%,50264,100,10509,22,334,693
24,sg,2003326,Emilia,96.31%,67130,100,10501,33,988,857
25,no,84841,CXu,99.21%,103788,102,10481,864,3562,109
26,kr,3179601,Tarulas,98.84%,80275,101,10464,49,1067,513
27,pl,613592,Adamqs,99.37%,128868,102,10412,138,1569,897
28,cl,5339515,Mathi,98.64%,87033,101,10357,26,559,507
29,kr,1883865,Yaong,99.39%,95647,103,10288,444,1628,782
30,us,4650315,[Toy]s our boy,98.85%,36394,101,10242,14,440,357
31,cn,227717,Totori,97.96%,64845,101,10237,139,2139,946
32,pl,39828,WubWoofWolf,99.31%,203209,105,10130,6712,8526,1690
33,us,3099689,Xilver,99.54%,190306,104,10125,147,1348,686
34,br,1558603,MouseEasy,98.08%,109109,101,10092,233,1378,1056
35,nz,3934999,Ayachi Nene,99.14%,70884,101,10089,376,1336,527
36,jp,2148231,kuu01,98.43%,108611,101,10059,46,1142,1531
37,kr,948713,Reimu-Desu,99.40%,106020,102,10058,274,1774,560
38,ca,2155578,Azer,99.08%,74484,101,10018,192,1032,690
39,de,537084,DoKito,99.37%,67404,101,9966,105,1770,1342
