rank,country,uid,name,accuracy,play count,level,pp,SS,S,A
1,kr,124493,Cookiezi,98.89%,14083,100,13355,50,419,302
2,kr,1777162,Angelsim,98.86%,123583,103,12942,159,1362,667
3,pl,2558286,Rafis,99.03%,205512,103,12935,169,1632,766
4,us,4787150,Vaxei,98.01%,88402,100,12648,32,515,539
5,tw,50265,hvick225,98.93%,134045,102,12421,826,3463,700
6,fr,2831793,filsdelama,98.59%,113210,102,12190,194,1504,590
7,ru,652457,_index,98.74%,55983,102,11311,425,1495,472
8,de,754565,Dustice,98.89%,83558,101,11207,109,2241,1327
9,gb,2204373,Spare,99.22%,56386,101,11072,306,1164,837
10,us,1419095,Gayzmcgee,99.24%,78151,101,11040,29,655,704
11,ro,3219026,Rohulk,99.24%,34507,102,10819,40,1604,1753
12,us,256802,HappyStick,98.58%,168243,104,10817,132,2140,478
13,fr,251683,Musty,99.26%,99853,102,10756,109,1679,1291
14,fi,3110552,Sanze,99.18%,153120,101,10714,110,1359,1032
15,jp,4183454,-Zirba-,98.83%,78811,100,10655,40,828,807
16,us,2757689,Toy,99.43%,165785,103,10627,2670,2882,638
17,pt,4495871,Mizuru,99.08%,80830,101,10613,83,899,938
18,us,2614511,Axarious,97.24%,62671,101,10610,35,852,467
19,pl,2021758,Wilchq,99.28%,77193,105,10608,1147,3245,251
20,jp,1787027,Recia,98.88%,96934,103,10605,655,2611,172
21,ru,1389663,talala,98.67%,186718,103,10592,127,2328,1473
22,no,84841,CXu,99.07%,104105,102,10579,864,3563,111
23,cl,3069354,DanyL,97.29%,74828,101,10566,79,797,276
24,pl,613592,Adamqs,99.42%,129803,102,10558,138,1592,899
25,sg,2003326,Emilia,96.44%,67840,100,10550,33,1003,866
26,lt,2562987,Azerite,98.36%,50264,100,10509,22,334,693
27,kr,3179601,Tarulas,98.84%,80443,101,10464,49,1068,515
28,cl,5339515,Mathi,98.64%,87575,101,10360,26,564,510
29,kr,1883865,Yaong,99.39%,95668,103,10288,444,1629,782
30,us,4650315,[Toy]s our boy,98.82%,36673,101,10284,14,451,352
31,cn,227717,Totori,97.96%,64923,101,10237,139,2146,951
32,br,1558603,MouseEasy,97.91%,109599,101,10199,236,1397,1069
33,pl,39828,WubWoofWolf,99.32%,204194,105,10191,6724,8539,1694
34,us,3099689,Xilver,99.54%,191183,104,10126,148,1352,692
35,nz,3934999,Ayachi Nene,99.14%,71346,101,10090,376,1347,532
36,jp,2148231,kuu01,98.43%,108611,101,10059,46,1142,1531
37,kr,948713,Reimu-Desu,99.40%,106276,102,10059,275,1777,560
38,ca,2155578,Azer,99.08%,74712,101,10019,193,1038,696
39,de,537084,DoKito,99.37%,67494,101,9966,105,1770,1344
40,kr,2258797,-Konpaku-,98.97%,73689,101,9959,67,1055,902
41,jp,1208858,Vettel,99.04%,210235,103,9951,304,1978,1063
42,us,3221564,i suck,98.20%,70978,100,9914,37,485,679
43,us,3126596,Mlaw22,99.16%,83979,103,9909,194,2695,1227
44,de,2438122,Beafowl,99.43%,96835,103,9904,290,857,344
45,fr,1545031,My Angel Serena,97.84%,111881,102,9847,151,1597,740
46,pl,27055,Salieri,98.82%,120509,101,9830,127,1865,1284
47,de,3542416,- Nikliu -,98.55%,66352,100,9799,39,931,658
48,ca,2051389,FunOrange,99.22%,70121,101,9791,149,1042,783
49,us,4852013,Monko2k,98.69%,49662,100,9696,67,1143,1269
50,cn,557197,Totoki,97.41%,114263,102,9691,234,3335,771
51,de,1500305,Neliel,98.66%,114134,102,9680,31,1422,644
52,tw,147515,Rucker,99.43%,166961,104,9635,3397,4237,648
53,de,1874761,hallowatcher,99.53%,93968,102,9597,114,1059,822
54,fr,3213239,Yaong Loli,99.30%,109843,101,9589,124,941,905
55,hu,6127312,aleho8,98.23%,42028,100,9584,20,726,760
56,es,903978,waaiiru,98.13%,139676,103,9575,99,1350,1183
57,au,3068044,Dumii,97.88%,99803,101,9571,68,1106,1541
58,fr,106269,Elysion,98.29%,90878,100,9559,34,776,1322
59,jo,464203,Akcel,98.91%,78388,100,9553,44,703,419
60,gb,2565902,MoeYandere,98.40%,97380,101,9551,17,1296,731
61,kr,1380419,Leaf,99.09%,67630,101,9547,227,3114,570
62,kr,1160923,kune259,97.44%,82718,100,9545,17,646,765
63,fr,718454,ThePooN,98.53%,66715,101,9488,45,744,525
64,br,2644700,Fenrir,99.44%,83433,103,9468,186,1989,448
65,gb,2232928,Spook,97.94%,98033,100,9426,115,1036,1196
66,au,3641404,uyghti,99.00%,121818,101,9424,104,887,891
67,jp,2121993,Mayoler,98.74%,107572,101,9414,159,2079,725
68,hk,1807167,Loli_Silica,98.42%,92321,102,9392,235,3086,858
69,sk,1770367,AtHeoN,99.15%,118478,102,9385,99,1698,675
70,mx,6169483,-Hebel-,99.22%,80120,101,9384,104,1146,369
71,hk,126144,DenierNezzar,98.64%,116464,102,9376,92,1992,1196
72,gb,960620,bahamete,98.66%,96782,101,9360,162,1005,460
73,sg,4758982,Plz Enjoy Game,97.41%,81595,100,9360,303,2760,2045
74,pl,4163860,Piggey,98.84%,104616,101,9353,86,1468,640
75,ca,4581715,Dunois,99.05%,92105,101,9352,154,1327,1061
76,fr,1093361,Kynan,98.72%,171602,101,9350,80,1827,1652
77,ca,3181676,Identical,99.24%,59336,101,9347,125,848,614
78,cn,954557,EmertxE,98.26%,136346,102,9343,33,1561,995
79,us,1855540,Smoothie World,98.66%,74581,100,9335,104,825,1366
80,ru,4170932,Red_Pixel,98.90%,81310,101,9332,32,610,651
81,kr,2933416,uvrv,98.32%,72515,101,9332,60,1346,647
82,jp,1126229,zeluaR,99.13%,143181,101,9308,473,2300,100
83,kr,946990,Meltina,99.13%,102321,103,9301,158,1833,737
84,cn,1266166,Dsan,99.23%,132330,103,9286,648,3469,647
85,gb,4196808,Karthy,98.99%,61138,101,9271,86,1151,1533
86,no,3551255,Afrodafro,98.99%,76996,101,9251,56,574,624
87,be,2678448,DenObscure,98.53%,105195,101,9238,136,1938,1009
88,jp,2538125,Yazone,99.04%,86643,101,9236,149,1339,961
89,jp,1688846,Emperorpenguin83,99.19%,108674,102,9228,195,2375,1006
90,us,3533958,fieryrage,97.41%,50700,101,9224,64,1037,701
91,pl,1549620,r0ck,98.99%,105426,101,9209,259,2636,918
92,us,1650010,Aireu,98.49%,121076,101,9206,381,1611,445
93,at,2323131,Fedora Goose,98.54%,126280,102,9200,57,1219,627
94,jp,1644514,hshs,98.99%,137634,102,9184,217,2093,937
95,kr,2034211,Interrobang,97.93%,71179,100,9144,74,943,745
96,es,2205189,Jack of Blades,99.50%,66716,101,9142,276,1171,171
97,gb,5182050,Bubbleman,98.90%,64101,101,9141,69,666,1021
98,pl,844815,AmaiHachimitsu,98.85%,199654,103,9128,86,1622,537
99,fi,1770462,isokasapupuja,99.05%,125677,101,9115,147,1493,938
100,kr,1451035,SilveRain,98.43%,93862,100,9110,672,1753,638
101,gb,18983,Doomsday,98.08%,254238,105,9108,893,6496,1225
102,kr,70863,La Valse,98.69%,49770,101,9106,351,4414,510
103,ca,4916057,Stoof,98.88%,61210,101,9093,64,730,1023
104,nl,1540807,jackylam5,98.22%,99064,101,9083,132,2030,781
105,jp,1884516,-HERO-,98.69%,160472,101,9079,142,854,766
106,tw,5155973,Rizer,99.42%,69915,101,9063,1202,2949,441
107,tw,887924,[ DANIEZ ],98.38%,130047,102,9061,220,2663,542
108,jp,559998,oxycodone,97.65%,191317,101,9058,62,1185,1081
109,kr,4643294,Runa,99.04%,44865,100,9046,238,842,641
110,dk,3722715,Zog,99.33%,103477,101,9045,101,949,894
111,us,1545019,-Archangel-,98.09%,105841,102,9042,181,2027,1169
112,kr,4488109,By_Aki,99.46%,10932,99,9036,18,278,140
113,ve,2243452,Satoruu,99.43%,49245,101,9032,285,1185,595
114,de,2022445,imagaK,98.67%,100640,102,9025,246,2350,891
115,de,1856829,Firstus,98.86%,66603,102,9024,150,2189,1184
116,ca,2866814,MiruHong,99.26%,114769,102,9022,267,767,444
117,kr,713266,sayonara-bye,98.80%,111554,102,9017,182,2293,792
118,us,4170037,Astana,98.59%,74676,101,9014,16,642,566
119,kr,4133758,Faics,99.37%,12549,100,9008,123,737,631
120,us,3985234,Avenging_Goose,99.26%,48853,101,9008,100,690,626
121,jp,4535785,Saimonea,98.84%,66997,100,9003,208,638,194
122,gr,3638005,Riven,99.24%,138128,101,9001,73,983,947
123,jp,343865,Gokuri,99.06%,101482,102,9000,192,1517,1030
124,kr,2932923,harunaruna,98.55%,113021,102,8980,133,1241,641
125,il,3382084,Kyoko,98.94%,82227,100,8977,241,584,442
126,dk,2114273,Mayoi Hachikuji,98.57%,137214,101,8965,88,1240,1209
127,us,3441616,Clarity,98.92%,78216,100,8964,246,1269,304
128,br,4663554,Zekker,98.92%,45514,101,8952,357,332,291
129,gb,4407567,Wookiezi,98.73%,62800,100,8948,73,479,637
130,au,2671317,[ ZhengS ],97.66%,126434,101,8943,36,1019,718
131,ru,4607565,Zavarka,98.42%,123652,101,8932,409,1541,911
132,mk,3909629,MetoA,98.68%,60305,101,8918,90,981,729
133,au,7260014,Korilak,99.23%,49353,100,8916,31,362,425
134,hu,4142446,legekka,99.03%,59027,100,8914,145,911,821
135,fi,3123423,Hyppyri,99.00%,109338,100,8913,96,1149,1482
136,us,2266860,Mrotaku,98.93%,64825,101,8904,64,1101,581
137,kr,1203216,Yellow,98.80%,85678,101,8900,74,983,454
138,us,492699,Kaoru,99.20%,144319,102,8897,275,3633,2567
139,gb,1986262,Castiel,99.00%,52780,101,8893,189,2457,988
140,kr,903167,My Aim Trash,99.35%,149135,102,8893,198,1550,1563
141,nl,2167433,Pittigbaasje,99.09%,61045,101,8888,79,1109,508
142,bz,3517706,[ Zane ],98.72%,114521,101,8883,116,1907,908
143,kr,3478883,Sequence,96.59%,55505,101,8882,59,1198,421
144,de,2282047,Risiing,99.20%,82426,101,8880,134,908,476
145,nl,4858573,Syph,98.95%,60703,100,8879,30,509,1085
146,us,1028387,Ritzeh,98.85%,80928,101,8854,94,1616,705
147,ca,3687489,ChronoTrig,98.70%,123453,101,8854,113,1310,735
148,de,846038,Splinter572,98.89%,182914,102,8834,675,1707,732
149,us,3328676,Seouless,98.72%,148046,102,8831,58,1442,834
150,ca,3146018,karalis,98.40%,77153,100,8830,49,1008,789
151,kr,5979619,NNAisle,99.12%,50002,100,8817,30,484,701
152,no,3990173,Sebu,98.82%,142592,102,8800,24,966,854
153,th,1427407,- Phantasma -,98.17%,78717,101,8798,139,1403,967
154,ca,3877775,Puffydaddy,99.26%,67859,101,8797,24,719,1252
155,jp,1978650,Sakurai Momoka,98.77%,76542,101,8793,243,2261,1040
156,jp,3345902,Yakisoba_Pan,98.96%,145373,101,8789,434,1454,958
157,jp,2197482,Twintail,99.18%,93521,101,8782,2135,1150,124
158,sg,2312106,GSBlank,98.94%,93615,102,8782,45,2411,1603
159,gb,2245830,FlowR,99.20%,123011,101,8781,123,1120,767
160,mx,2484629,Broodich,99.10%,182054,102,8773,696,2962,2259
161,fr,3117824,My Angel 2B,98.74%,81121,100,8771,27,513,419
162,ph,6466331,Anzu Takakura,98.79%,86777,100,8770,19,404,566
163,de,1164526,BDDav,99.39%,112478,101,8759,409,1603,280
164,lv,2891792,Emula,99.03%,93205,102,8750,129,2060,580
165,kr,2823991,quickly die,99.10%,86587,101,8738,156,1623,1086
166,ar,756068,Serena,99.37%,70889,101,8734,641,953,411
167,kr,2043401,Enon,99.20%,102505,102,8728,179,1784,1006
168,fr,4115408,ExLeaF,98.31%,69531,100,8727,56,685,576
169,lt,2639159,Shelbis,98.70%,60693,100,8726,34,661,703
170,ph,1587999,Mira-san,98.49%,67170,100,8715,165,980,216
171,cn,1597068,MeiMei,99.11%,32186,100,8711,16,401,287
172,kr,526851,Qu1z,97.77%,65054,100,8688,34,540,858
173,ph,6244066,HaruTachi-,98.43%,34805,100,8686,6,391,841
174,ca,2601166,Toke,98.49%,278765,102,8685,78,1393,1535
175,kr,832084,Neta,99.19%,89566,103,8677,253,3109,197
176,ar,2367825,Toushi,99.11%,78691,100,8670,51,887,847
177,nz,3833980,yellowy246,98.92%,82309,101,8669,191,977,796
178,cl,2319238,pyon,98.67%,91915,102,8668,246,1848,690
179,kr,3938876,eoehd1ek,97.95%,68764,101,8668,270,1863,477
180,jp,2477878,Sheba,99.19%,107182,104,8667,1404,1752,1
181,fi,4982095,Sakke,98.27%,61173,100,8667,14,297,196
182,at,939213,NuHaru,97.89%,36132,100,8665,17,976,709
183,de,4151585,cmnk,98.64%,74416,100,8661,100,922,849
184,us,2370889,Touchette,98.05%,60686,100,8661,44,1019,497
185,kr,2770796,w1sp,97.95%,19280,100,8653,19,419,481
186,id,1578073,gbs tap,99.35%,74504,100,8650,250,1759,596
