rank,country,uid,name,accuracy,play count,level,pp,SS,S,A
1,kr,124493,Cookiezi,98.90%,13909,100,13318,50,413,304
2,kr,1777162,Angelsim,98.86%,123379,103,12942,159,1361,665
3,pl,2558286,Rafis,99.03%,204538,103,12883,169,1628,762
4,us,4787150,Vaxei,98.01%,88131,100,12648,32,514,536
5,tw,50265,hvick225,98.93%,134045,102,12421,826,3463,700
6,fr,2831793,filsdelama,98.59%,112816,102,12121,194,1499,591
7,ru,652457,_index,98.74%,55983,102,11311,425,1495,472
8,de,754565,Dustice,98.89%,83454,101,11207,109,2239,1328
9,gb,2204373,Spare,99.22%,56086,101,11071,305,1159,831
10,us,1419095,Gayzmcgee,99.24%,78142,101,11040,29,655,704
11,ro,3219026,Rohulk,99.24%,34255,102,10819,39,1592,1746
12,us,256802,HappyStick,98.58%,168085,104,10817,132,2139,478
13,fr,251683,Musty,99.26%,99798,102,10756,108,1678,1291
14,fi,3110552,Sanze,99.18%,153091,101,10714,110,1359,1032
15,jp,4183454,-Zirba-,98.83%,78811,100,10655,40,828,807
16,us,2757689,Toy,99.43%,165611,103,10626,2666,2874,638
17,pt,4495871,Mizuru,99.08%,80649,101,10612,83,897,930
18,us,2614511,Axarious,97.24%,62671,101,10610,35,852,467
19,jp,1787027,Recia,98.88%,96810,103,10603,654,2607,172
20,no,84841,CXu,99.07%,104022,102,10579,864,3563,110
21,cl,3069354,DanyL,97.29%,74676,101,10565,79,793,276
22,pl,2021758,Wilchq,99.31%,76739,105,10545,1145,3233,250
23,sg,2003326,Emilia,96.41%,67465,100,10544,33,997,858
24,ru,1389663,talala,98.62%,186288,103,10524,127,2325,1476
25,lt,2562987,Azerite,98.36%,50264,100,10509,22,334,693
26,kr,3179601,Tarulas,98.84%,80357,101,10464,49,1067,514
27,pl,613592,Adamqs,99.40%,129232,102,10463,138,1585,896
28,cl,5339515,Mathi,98.64%,87033,101,10357,26,559,507
29,kr,1883865,Yaong,99.39%,95647,103,10288,444,1628,782
30,us,4650315,[Toy]s our boy,98.85%,36436,101,10245,14,442,355
31,cn,227717,Totori,97.96%,64845,101,10237,139,2139,946
32,pl,39828,WubWoofWolf,99.32%,203476,105,10191,6714,8528,1688
33,us,3099689,Xilver,99.54%,190306,104,10125,147,1348,686
34,br,1558603,MouseEasy,98.10%,109208,101,10105,233,1380,1053
35,nz,3934999,Ayachi Nene,99.14%,70917,101,10089,376,1336,527
36,jp,2148231,kuu01,98.43%,108611,101,10059,46,1142,1531
37,kr,948713,Reimu-Desu,99.40%,106150,102,10058,275,1775,558
38,ca,2155578,Azer,99.08%,74591,101,10018,192,1033,694
39,de,537084,DoKito,99.37%,67404,101,9966,105,1770,1342
40,us,3221564,i suck,98.20%,70777,100,9914,37,483,678
41,jp,1208858,Vettel,99.01%,209290,103,9912,303,1978,1059
42,kr,2258797,-Konpaku-,98.92%,73286,101,9899,67,1038,896
43,de,2438122,Beafowl,99.44%,96556,103,9897,290,856,343
44,us,3126596,Mlaw22,99.17%,83893,103,9890,194,2693,1227
45,fr,1545031,My Angel Serena,97.84%,111771,102,9847,151,1594,736
46,pl,27055,Salieri,98.82%,119807,101,9822,127,1851,1272
47,de,3542416,- Nikliu -,98.55%,66266,100,9798,39,930,658
48,ca,2051389,FunOrange,99.25%,69881,101,9766,145,1034,784
49,us,4852013,Monko2k,98.69%,49417,100,9695,65,1120,1267
50,cn,557197,Totoki,97.41%,114247,102,9691,233,3332,769
51,de,1500305,Neliel,98.66%,114134,102,9680,31,1422,644
52,tw,147515,Rucker,99.43%,166961,104,9635,3397,4237,648
53,de,1874761,hallowatcher,99.53%,93360,102,9597,113,1052,821
54,hu,6127312,aleho8,98.23%,41996,100,9584,20,726,760
55,es,903978,waaiiru,98.13%,139271,103,9575,98,1347,1181
56,fr,3213239,Yaong Loli,99.30%,108840,101,9566,121,927,902
57,fr,106269,Elysion,98.29%,90795,100,9559,34,776,1321
58,au,3068044,Dumii,97.88%,99464,101,9554,68,1095,1534
59,gb,2565902,MoeYandere,98.40%,97145,101,9550,17,1295,728
60,kr,1380419,Leaf,99.09%,67604,101,9547,227,3114,570
61,kr,1160923,kune259,97.44%,82718,100,9545,17,646,765
62,jo,464203,Akcel,98.93%,77934,100,9499,44,701,418
63,fr,718454,ThePooN,98.53%,66683,101,9488,45,744,525
64,br,2644700,Fenrir,99.44%,83228,103,9462,179,1976,450
65,gb,2232928,Spook,97.94%,97701,100,9426,115,1034,1190
66,jp,2121993,Mayoler,98.75%,107508,101,9409,159,2079,722
67,hk,1807167,Loli_Silica,98.42%,92064,102,9392,234,3079,858
68,sk,1770367,AtHeoN,99.16%,118400,102,9384,99,1699,674
69,au,3641404,uyghti,98.98%,121623,101,9378,104,886,889
70,hk,126144,DenierNezzar,98.64%,116407,102,9376,92,1992,1196
71,mx,6169483,-Hebel-,99.22%,79694,101,9362,104,1141,370
72,gb,960620,bahamete,98.66%,96751,101,9360,162,1005,460
73,fr,1093361,Kynan,98.72%,171527,101,9350,80,1827,1650
74,ca,3181676,Identical,99.25%,59179,101,9346,125,848,610
75,ca,4581715,Dunois,99.04%,91907,101,9345,153,1324,1062
76,cn,954557,EmertxE,98.26%,135818,102,9341,33,1558,988
77,sg,4758982,Plz Enjoy Game,97.41%,81201,100,9336,303,2750,2044
78,us,1855540,Smoothie World,98.66%,74581,100,9335,104,825,1366
79,ru,4170932,Red_Pixel,98.90%,81310,101,9332,32,610,651
80,kr,2933416,uvrv,98.32%,72447,101,9331,59,1334,643
81,pl,4163860,Piggey,98.82%,104253,101,9327,86,1464,640
82,jp,1126229,zeluaR,99.13%,143181,101,9308,473,2300,100
83,kr,946990,Meltina,99.13%,102065,103,9300,159,1831,736
84,cn,1266166,Dsan,99.23%,132239,103,9285,648,3467,638
85,gb,4196808,Karthy,98.99%,60748,101,9270,86,1139,1529
86,be,2678448,DenObscure,98.53%,105195,101,9238,136,1938,1009
87,no,3551255,Afrodafro,99.02%,76586,101,9228,56,573,620
88,jp,1688846,Emperorpenguin83,99.19%,108674,102,9228,195,2375,1006
89,jp,2538125,Yazone,99.02%,86138,101,9219,148,1337,951
90,pl,1549620,r0ck,98.99%,105331,101,9209,259,2636,914
91,at,2323131,Fedora Goose,98.54%,126167,102,9200,57,1218,625
92,us,1650010,Aireu,98.50%,120799,101,9199,381,1609,443
93,jp,1644514,hshs,98.99%,137412,102,9183,217,2090,931
94,kr,2034211,Interrobang,97.93%,71168,100,9144,74,942,745
95,es,2205189,Jack of Blades,99.50%,66716,101,9142,276,1171,171
96,pl,844815,AmaiHachimitsu,98.85%,199473,103,9128,86,1622,536
97,fi,1770462,isokasapupuja,99.05%,125677,101,9115,147,1493,938
98,kr,1451035,SilveRain,98.43%,93862,100,9110,672,1753,638
99,kr,70863,La Valse,98.69%,49476,101,9105,351,4409,508
100,ca,4916057,Stoof,98.88%,60894,101,9089,64,726,1019
101,nl,1540807,jackylam5,98.22%,99057,101,9083,132,2030,780
102,jp,1884516,-HERO-,98.69%,160359,101,9079,142,854,765
103,gb,5182050,Bubbleman,98.88%,63697,101,9074,69,664,1021
104,tw,887924,[ DANIEZ ],98.38%,129694,102,9060,220,2646,536
105,jp,559998,oxycodone,97.65%,191317,101,9058,62,1185,1081
106,gb,18983,Doomsday,98.06%,253846,105,9046,893,6486,1226
107,kr,4643294,Runa,99.04%,44865,100,9046,238,842,641
108,us,1545019,-Archangel-,98.09%,105694,102,9041,181,2023,1168
109,dk,3722715,Zog,99.32%,102958,101,9041,101,946,890
110,ve,2243452,Satoruu,99.43%,49245,101,9032,285,1185,595
111,tw,5155973,Rizer,99.40%,69688,101,9029,1201,2930,434
112,de,2022445,imagaK,98.67%,100377,102,9025,246,2347,887
113,kr,713266,sayonara-bye,98.80%,111347,102,9016,182,2288,787
114,us,4170037,Astana,98.59%,74643,101,9014,16,642,566
115,de,1856829,Firstus,98.84%,66387,102,9003,148,2174,1177
116,jp,4535785,Saimonea,98.84%,66991,100,9003,208,637,193
117,jp,343865,Gokuri,99.06%,101482,102,9000,192,1517,1030
118,gr,3638005,Riven,99.24%,137699,101,9000,73,983,935
119,us,3533958,fieryrage,97.26%,50259,101,8987,64,1033,700
120,ca,2866814,MiruHong,99.24%,114182,102,8983,267,766,441
121,kr,2932923,harunaruna,98.55%,113021,102,8980,133,1241,641
122,dk,2114273,Mayoi Hachikuji,98.57%,136933,101,8964,88,1236,1208
123,us,3441616,Clarity,98.94%,78058,100,8959,246,1269,303
124,br,4663554,Zekker,98.92%,45205,101,8950,357,330,288
125,kr,4133758,Faics,99.38%,12447,100,8949,122,733,623
126,au,2671317,[ ZhengS ],97.67%,126145,101,8942,36,1019,716
127,us,3985234,Avenging_Goose,99.26%,48576,101,8942,91,679,615
128,gb,4407567,Wookiezi,98.72%,62699,100,8938,73,478,631
129,il,3382084,Kyoko,98.94%,81877,100,8929,241,582,441
130,mk,3909629,MetoA,98.68%,60209,101,8918,90,981,727
131,fi,3123423,Hyppyri,99.00%,109287,100,8913,92,1147,1482
132,us,2266860,Mrotaku,98.93%,64825,101,8904,64,1101,581
133,kr,1203216,Yellow,98.80%,85678,101,8900,74,983,454
134,us,492699,Kaoru,99.20%,143917,102,8896,275,3627,2561
135,gb,1986262,Castiel,99.00%,52592,101,8893,189,2454,984
136,kr,903167,My Aim Trash,99.35%,149069,102,8893,198,1546,1563
137,hu,4142446,legekka,99.02%,58716,100,8890,145,903,822
138,ru,4607565,Zavarka,98.39%,122628,101,8889,408,1538,911
139,kr,3478883,Sequence,96.58%,55342,101,8880,59,1199,418
140,nl,2167433,Pittigbaasje,99.12%,60865,101,8874,79,1107,506
141,us,1028387,Ritzeh,98.85%,80928,101,8854,94,1616,705
142,ca,3687489,ChronoTrig,98.70%,123198,101,8853,113,1308,735
143,de,846038,Splinter572,98.89%,182672,102,8833,674,1705,731
144,us,3328676,Seouless,98.72%,147631,102,8830,58,1442,831
145,kr,5979619,NNAisle,99.12%,50002,100,8817,30,484,701
146,bz,3517706,[ Zane ],98.65%,113478,101,8807,116,1897,900
147,de,2282047,Risiing,99.18%,82281,101,8803,134,905,477
148,no,3990173,Sebu,98.82%,141913,102,8800,24,968,848
149,th,1427407,- Phantasma -,98.17%,78563,101,8798,139,1401,966
150,ca,3877775,Puffydaddy,99.26%,67839,101,8797,24,719,1248
151,jp,1978650,Sakurai Momoka,98.77%,76534,101,8793,242,2261,1042
152,jp,3345902,Yakisoba_Pan,98.96%,145359,101,8789,434,1454,958
153,jp,2197482,Twintail,99.18%,93455,101,8782,2135,1146,122
154,sg,2312106,GSBlank,98.94%,93448,102,8782,45,2402,1598
155,gb,2245830,FlowR,99.21%,122154,101,8777,123,1116,766
156,ph,6466331,Anzu Takakura,98.79%,86534,100,8770,19,403,564
157,mx,2484629,Broodich,99.10%,181333,102,8767,696,2957,2252
158,de,1164526,BDDav,99.39%,112399,101,8759,409,1602,280
159,lv,2891792,Emula,99.04%,92866,102,8739,129,2047,578
