rank,country,uid,name,accuracy,play count,level,pp,SS,S,A
1,kr,124493,Cookiezi,98.88%,13989,100,13349,50,417,302
2,kr,1777162,Angelsim,98.86%,123544,103,12942,159,1362,666
3,pl,2558286,Rafis,99.03%,205268,103,12935,169,1632,764
4,us,4787150,Vaxei,98.01%,88250,100,12648,32,515,537
5,tw,50265,hvick225,98.93%,134045,102,12421,826,3463,700
6,fr,2831793,filsdelama,98.59%,113210,102,12190,194,1504,590
7,ru,652457,_index,98.74%,55983,102,11311,425,1495,472
8,de,754565,Dustice,98.89%,83474,101,11207,109,2240,1327
9,gb,2204373,Spare,99.22%,56321,101,11072,306,1164,837
10,us,1419095,Gayzmcgee,99.24%,78142,101,11040,29,655,704
11,ro,3219026,Rohulk,99.24%,34444,102,10819,39,1599,1748
12,us,256802,HappyStick,98.58%,168138,104,10817,132,2139,478
13,fr,251683,Musty,99.26%,99826,102,10756,108,1679,1291
14,fi,3110552,Sanze,99.18%,153091,101,10714,110,1359,1032
15,jp,4183454,-Zirba-,98.83%,78811,100,10655,40,828,807
16,us,2757689,Toy,99.43%,165695,103,10626,2669,2876,638
17,pt,4495871,Mizuru,99.08%,80787,101,10613,83,900,936
18,us,2614511,Axarious,97.24%,62671,101,10610,35,852,467
19,jp,1787027,Recia,98.88%,96854,103,10603,655,2609,172
20,ru,1389663,talala,98.67%,186472,103,10591,127,2328,1473
21,no,84841,CXu,99.07%,104105,102,10579,864,3563,111
22,cl,3069354,DanyL,97.29%,74750,101,10566,79,795,277
23,pl,2021758,Wilchq,99.25%,76908,105,10565,1147,3233,251
24,pl,613592,Adamqs,99.42%,129572,102,10557,138,1592,898
25,sg,2003326,Emilia,96.44%,67792,100,10550,33,1003,866
26,lt,2562987,Azerite,98.36%,50264,100,10509,22,334,693
27,kr,3179601,Tarulas,98.84%,80436,101,10464,49,1068,515
28,cl,5339515,Mathi,98.64%,87362,101,10360,26,564,510
29,kr,1883865,Yaong,99.39%,95668,103,10288,444,1629,782
30,us,4650315,[Toy]s our boy,98.82%,36574,101,10282,14,448,352
31,cn,227717,Totori,97.96%,64867,101,10237,139,2142,949
32,br,1558603,MouseEasy,97.92%,109418,101,10197,233,1384,1064
33,pl,39828,WubWoofWolf,99.32%,204129,105,10191,6723,8539,1690
34,us,3099689,Xilver,99.54%,190756,104,10126,148,1352,689
35,nz,3934999,Ayachi Nene,99.14%,71174,101,10090,376,1343,533
36,jp,2148231,kuu01,98.43%,108611,101,10059,46,1142,1531
37,kr,948713,Reimu-Desu,99.40%,106196,102,10058,275,1775,558
38,ca,2155578,Azer,99.08%,74667,101,10019,193,1037,695
39,de,537084,DoKito,99.37%,67404,101,9966,105,1770,1342
40,kr,2258797,-Konpaku-,98.97%,73586,101,9959,67,1053,903
41,jp,1208858,Vettel,99.04%,209688,103,9933,304,1977,1060
42,us,3221564,i suck,98.20%,70903,100,9914,37,484,679
43,us,3126596,Mlaw22,99.16%,83934,103,9909,194,2693,1227
44,de,2438122,Beafowl,99.43%,96760,103,9904,290,857,344
45,fr,1545031,My Angel Serena,97.84%,111807,102,9847,151,1596,738
46,pl,27055,Salieri,98.81%,120265,101,9827,127,1860,1281
47,de,3542416,- Nikliu -,98.55%,66321,100,9799,39,930,658
48,ca,2051389,FunOrange,99.20%,69992,101,9771,146,1038,783
49,us,4852013,Monko2k,98.69%,49483,100,9695,65,1125,1267
50,cn,557197,Totoki,97.41%,114263,102,9691,234,3335,771
51,de,1500305,Neliel,98.66%,114134,102,9680,31,1422,644
52,tw,147515,Rucker,99.43%,166961,104,9635,3397,4237,648
53,de,1874761,hallowatcher,99.53%,93738,102,9597,113,1058,820
54,hu,6127312,aleho8,98.23%,42022,100,9584,20,726,760
55,es,903978,waaiiru,98.13%,139524,103,9575,99,1353,1183
56,fr,3213239,Yaong Loli,99.30%,109378,101,9571,122,932,905
57,fr,106269,Elysion,98.29%,90829,100,9559,34,776,1321
58,au,3068044,Dumii,97.89%,99671,101,9558,68,1099,1537
59,gb,2565902,MoeYandere,98.40%,97329,101,9551,17,1296,731
60,kr,1380419,Leaf,99.09%,67630,101,9547,227,3114,570
61,kr,1160923,kune259,97.44%,82718,100,9545,17,646,765
62,jo,464203,Akcel,98.93%,78144,100,9520,44,701,419
63,fr,718454,ThePooN,98.53%,66683,101,9488,45,744,525
64,br,2644700,Fenrir,99.44%,83359,103,9468,185,1985,448
65,gb,2232928,Spook,97.94%,97984,100,9426,115,1036,1196
66,au,3641404,uyghti,99.00%,121704,101,9424,104,886,890
67,jp,2121993,Mayoler,98.74%,107568,101,9414,159,2079,725
68,hk,1807167,Loli_Silica,98.42%,92222,102,9392,235,3082,859
69,sk,1770367,AtHeoN,99.16%,118462,102,9385,99,1699,675
70,mx,6169483,-Hebel-,99.22%,79978,101,9381,104,1145,369
71,hk,126144,DenierNezzar,98.64%,116464,102,9376,92,1992,1196
72,gb,960620,bahamete,98.66%,96782,101,9360,162,1005,460
73,pl,4163860,Piggey,98.84%,104613,101,9353,86,1468,640
74,fr,1093361,Kynan,98.72%,171602,101,9350,80,1827,1652
75,ca,3181676,Identical,99.24%,59305,101,9346,125,848,611
76,ca,4581715,Dunois,99.04%,91916,101,9345,153,1324,1062
77,cn,954557,EmertxE,98.26%,136049,102,9341,33,1559,993
78,sg,4758982,Plz Enjoy Game,97.41%,81426,100,9340,303,2756,2045
79,us,1855540,Smoothie World,98.66%,74581,100,9335,104,825,1366
80,ru,4170932,Red_Pixel,98.90%,81310,101,9332,32,610,651
81,kr,2933416,uvrv,98.32%,72490,101,9331,60,1340,646
82,jp,1126229,zeluaR,99.13%,143181,101,9308,473,2300,100
83,kr,946990,Meltina,99.13%,102321,103,9301,158,1833,737
84,cn,1266166,Dsan,99.23%,132325,103,9286,648,3468,648
85,gb,4196808,Karthy,98.99%,60968,101,9270,86,1143,1533
86,be,2678448,DenObscure,98.53%,105195,101,9238,136,1938,1009
