rank,country,uid,name,accuracy,play count,level,pp,SS,S,A
1,kr,124493,Cookiezi,98.87%,15780,101,13561,58,469,341
2,us,4787150,Vaxei,98.16%,95184,101,13017,34,551,579
3,kr,1777162,Angelsim,98.85%,125125,103,12974,159,1379,680
4,pl,2558286,Rafis,99.04%,209404,103,12969,177,1674,801
5,tw,50265,hvick225,98.93%,134059,102,12421,826,3471,700
6,fr,2831793,filsdelama,98.65%,115898,102,12357,201,1526,577
7,ru,652457,_index,98.74%,56329,102,11314,426,1508,480
8,de,754565,Dustice,98.89%,84076,101,11208,113,2279,1345
9,gb,2204373,Spare,99.25%,62033,101,11124,312,1231,907
10,lt,2562987,Azerite,98.57%,54655,100,11056,22,363,772
11,us,1419095,Gayzmcgee,99.23%,79146,101,11056,29,661,721
12,ro,3219026,Rohulk,99.21%,36215,102,10952,44,1723,1768
13,us,256802,HappyStick,98.60%,170750,104,10909,133,2176,490
14,sg,2003326,Emilia,96.63%,72069,100,10887,37,1080,922
15,cl,3069354,DanyL,97.12%,76848,101,10868,79,813,285
16,fr,251683,Musty,99.27%,101833,102,10830,117,1712,1311
17,ru,1389663,talala,98.56%,189712,103,10796,131,2377,1475
18,us,2757689,Toy,99.45%,170702,104,10763,2814,2985,629
19,kr,2258797,-Konpaku-,98.97%,76332,101,10762,78,1153,948
20,pl,613592,Adamqs,99.39%,133136,102,10741,141,1653,905
21,fi,3110552,Sanze,99.17%,154785,101,10741,110,1369,1047
22,no,84841,CXu,99.06%,106396,102,10685,865,3591,150
23,pl,2021758,Wilchq,99.28%,79224,105,10679,1229,3365,256
24,jp,4183454,-Zirba-,98.83%,78816,100,10655,40,828,808
25,pt,4495871,Mizuru,99.08%,82735,101,10621,85,913,972
26,jp,1787027,Recia,98.88%,97627,103,10606,658,2632,192
27,us,3043603,kablaze,99.35%,102413,102,10562,496,1464,961
28,us,4650315,free mutual,98.62%,38260,101,10555,16,479,358
29,kr,1160923,Green NPC,98.42%,84844,100,10496,21,693,823
30,cn,227717,rustbell,97.65%,67581,101,10493,139,2190,978
31,kr,3179601,Tarulas,98.84%,81077,101,10466,50,1072,520
32,cl,5339515,Mathi,98.70%,91613,102,10453,26,578,531
33,br,1558603,MouseEasy,97.88%,111374,101,10297,240,1428,1101
34,kr,1883865,Yaong,99.39%,96175,103,10292,478,1678,781
