rank,country,uid,name,accuracy,play count,level,pp,SS,S,A
1,kr,124493,Cookiezi,98.90%,13831,100,13318,50,412,303
2,kr,1777162,Angelsim,98.86%,123271,103,12942,159,1361,662
3,pl,2558286,Rafis,99.02%,203967,103,12857,169,1627,759
4,us,4787150,Vaxei,98.01%,87859,100,12648,32,514,533
5,tw,50265,hvick225,98.93%,134045,102,12421,826,3463,700
6,fr,2831793,Igorr,98.59%,112608,102,12121,194,1497,587
7,ru,652457,_index,98.74%,55983,102,11311,425,1495,472
8,de,754565,Dustice,98.89%,83354,101,11206,109,2239,1324
9,gb,2204373,Spare,99.21%,55667,101,11057,305,1153,824
10,us,1419095,Gayzmcgee,99.24%,78004,101,11010,29,655,697
11,ro,3219026,Rohulk,99.24%,34146,102,10819,39,1591,1736
12,us,256802,HappyStick,98.57%,167767,104,10809,131,2132,476
13,fr,251683,Musty,99.25%,99493,102,10748,108,1676,1290
14,fi,3110552,Sanze,99.18%,153079,101,10714,110,1359,1032
15,jp,4183454,-Zirba-,98.83%,78811,100,10655,40,828,807
16,us,2757689,Toy,99.43%,165396,103,10626,2660,2873,639
17,pt,4495871,Mizuru,99.08%,80579,101,10612,83,897,929
18,us,2614511,Axarious,97.24%,62671,101,10610,35,852,467
19,jp,1787027,Recia,98.86%,96765,103,10591,653,2606,172
20,cl,3069354,DanyL,97.38%,74394,101,10545,79,784,278
21,pl,2021758,Wilchq,99.31%,76608,105,10545,1145,3233,248
22,ru,1389663,talala,98.62%,185839,103,10523,127,2325,1476
23,lt,2562987,Azerite,98.36%,50264,100,10509,22,334,693
24,sg,2003326,Emilia,96.31%,67127,100,10501,33,988,857
25,no,84841,CXu,99.21%,103788,102,10481,864,3562,109
26,kr,3179601,Tarulas,98.84%,80231,101,10415,49,1067,512
27,pl,613592,Adamqs,99.37%,128822,102,10412,138,1569,897
28,cl,5339515,Mathi,98.64%,86987,101,10357,26,559,507
29,kr,1883865,Yaong,99.39%,95647,103,10288,444,1628,782
30,us,4650315,[Toy]s our boy,98.85%,36348,101,10241,14,440,355
31,cn,227717,Totori,97.96%,64828,101,10237,139,2137,944
32,pl,39828,WubWoofWolf,99.31%,203209,105,10130,6712,8526,1690
33,us,3099689,Xilver,99.54%,190306,104,10125,147,1348,686
34,nz,3934999,Ayachi Nene,99.14%,70828,101,10089,376,1336,527
35,br,1558603,MouseEasy,98.10%,109018,101,10087,233,1377,1055
36,jp,2148231,kuu01,98.43%,108509,101,10059,46,1141,1531
37,kr,948713,Reimu-Desu,99.40%,105991,102,10058,274,1774,557
38,ca,2155578,Azer,99.08%,74383,101,10017,192,1032,689
39,de,537084,DoKito,99.37%,67404,101,9966,105,1770,1342
40,us,3221564,i suck,98.20%,70566,100,9913,37,482,675
41,jp,1208858,Vettel,99.01%,209290,103,9912,303,1978,1059
42,de,2438122,Beafowl,99.44%,96415,103,9897,290,856,342
43,us,3126596,Mlaw22,99.18%,83821,103,9877,193,2692,1228
44,fr,1545031,My Angel Serena,97.84%,111771,102,9847,151,1594,736
45,kr,2258797,-Konpaku-,98.99%,73034,101,9845,67,1033,892
46,pl,27055,Salieri,98.82%,119745,101,9822,126,1849,1270
47,de,3542416,- Nikliu -,98.55%,66243,100,9798,39,930,657
48,ca,2051389,FunOrange,99.25%,69754,101,9766,145,1030,787
49,us,4852013,Monko2k,98.69%,49390,100,9695,64,1119,1266
50,cn,557197,Totoki,97.41%,114235,102,9691,233,3332,769
51,de,1500305,Neliel,98.66%,114134,102,9680,31,1422,644
52,tw,147515,Rucker,99.43%,166961,104,9635,3397,4237,648
53,de,1874761,hallowatcher,99.53%,93150,102,9596,113,1048,821
54,hu,6127312,aleho8,98.23%,41982,100,9584,20,726,760
55,es,903978,waaiiru,98.13%,138960,103,9575,98,1347,1179
56,fr,3213239,Yaong Loli,99.30%,108787,101,9566,120,926,901
57,fr,106269,Elysion,98.29%,90731,100,9559,34,776,1321
58,au,3068044,Dumii,97.88%,99422,101,9554,68,1094,1531
59,gb,2565902,MoeYandere,98.40%,97101,101,9550,17,1295,727
60,kr,1380419,Leaf,99.09%,67567,101,9547,227,3114,570
61,kr,1160923,kune259,97.44%,82718,100,9545,17,646,765
62,jo,464203,Akcel,98.94%,77614,100,9492,44,700,417
63,fr,718454,ThePooN,98.53%,66575,101,9487,45,744,511
64,br,2644700,Fenrir,99.44%,83059,103,9461,178,1969,452
65,gb,2232928,Spook,97.94%,97601,100,9426,115,1033,1188
66,jp,2121993,Mayoler,98.75%,107450,101,9409,158,2076,722
67,hk,1807167,Loli_Silica,98.42%,91943,102,9392,231,3067,869
68,sk,1770367,AtHeoN,99.16%,118368,102,9384,99,1698,674
69,au,3641404,uyghti,98.98%,121623,101,9378,104,886,889
70,hk,126144,DenierNezzar,98.64%,116287,102,9376,92,1992,1188
71,mx,6169483,-Hebel-,99.22%,79547,101,9360,104,1141,370
72,gb,960620,bahamete,98.66%,96751,101,9360,162,1005,460
73,fr,1093361,Kynan,98.72%,171527,101,9350,80,1827,1650
74,ca,3181676,Identical,99.25%,58961,101,9346,125,847,611
75,ca,4581715,Dunois,99.04%,91726,101,9345,153,1322,1062
76,cn,954557,EmertxE,98.26%,135647,102,9341,33,1558,986
77,us,1855540,Smoothie World,98.66%,74581,100,9335,104,825,1366
78,ru,4170932,Red_Pixel,98.90%,81300,101,9332,32,610,651
79,sg,4758982,Plz Enjoy Game,97.42%,81019,100,9331,303,2747,2038
80,kr,2933416,uvrv,98.32%,72393,101,9330,59,1323,637
81,pl,4163860,Piggey,98.80%,104177,101,9315,86,1460,642
82,jp,1126229,zeluaR,99.13%,143181,101,9308,473,2300,100
83,kr,946990,Meltina,99.13%,101919,103,9300,158,1829,733
84,cn,1266166,Dsan,99.23%,132111,103,9285,648,3461,642
85,gb,4196808,Karthy,98.99%,60485,101,9270,86,1136,1529
86,be,2678448,DenObscure,98.53%,105184,101,9238,136,1938,1008
87,jp,1688846,Emperorpenguin83,99.19%,108674,102,9228,195,2375,1006
88,jp,2538125,Yazone,99.02%,85905,101,9219,146,1335,952
89,pl,1549620,r0ck,98.99%,105331,101,9209,259,2636,914
90,no,3551255,Afrodafro,99.01%,76420,101,9204,56,572,620
91,at,2323131,Fedora Goose,98.54%,126167,102,9200,57,1218,625
92,us,1650010,Aireu,98.50%,120566,101,9199,381,1609,442
93,jp,1644514,hshs,99.00%,137160,102,9163,217,2092,931
94,kr,2034211,Interrobang,97.93%,71151,100,9144,74,942,744
95,es,2205189,Jack of Blades,99.50%,66716,101,9142,276,1171,171
96,pl,844815,AmaiHachimitsu,98.85%,199312,103,9128,86,1620,537
97,fi,1770462,isokasapupuja,99.05%,125677,101,9115,147,1493,938
98,kr,1451035,SilveRain,98.43%,93862,100,9110,672,1753,638
99,kr,70863,La Valse,98.69%,49475,101,9105,351,4410,508
100,nl,1540807,jackylam5,98.22%,99057,101,9083,132,2030,780
101,jp,1884516,-HERO-,98.69%,160282,101,9079,142,854,765
102,gb,5182050,Bubbleman,98.88%,63505,101,9073,69,662,1018
103,ca,4916057,Stoof,98.85%,60750,101,9059,64,723,1019
104,jp,559998,oxycodone,97.65%,191317,101,9058,62,1185,1081
105,tw,887924,[ DANIEZ ],98.38%,129419,102,9054,220,2636,536
106,kr,4643294,Runa,99.04%,44865,100,9046,238,842,641
107,gb,18983,Doomsday,98.06%,253670,105,9046,893,6477,1212
108,us,1545019,-Archangel-,98.09%,105599,102,9041,181,2018,1162
109,ve,2243452,Satoruu,99.43%,49245,101,9032,285,1185,595
110,dk,3722715,Zog,99.32%,102799,101,9028,101,946,890
111,de,2022445,imagaK,98.66%,100224,102,9023,246,2346,886
112,us,4170037,Astana,98.59%,74552,101,9014,16,643,562
113,de,1856829,Firstus,98.84%,66294,102,9003,148,2166,1176
