rank,country,uid,name,accuracy,play count,level,pp,SS,S,A
1,kr,124493,Cookiezi,98.90%,13909,100,13318,50,413,304
2,kr,1777162,Angelsim,98.86%,123379,103,12942,159,1361,665
3,pl,2558286,Rafis,99.02%,204240,103,12857,169,1627,762
4,us,4787150,Vaxei,98.01%,88131,100,12648,32,514,536
5,tw,50265,hvick225,98.93%,134045,102,12421,826,3463,700
6,fr,2831793,filsdelama,98.59%,112710,102,12121,194,1499,590
7,ru,652457,_index,98.74%,55983,102,11311,425,1495,472
8,de,754565,Dustice,98.89%,83410,101,11206,109,2239,1328
9,gb,2204373,Spare,99.22%,56069,101,11071,305,1159,830
10,us,1419095,Gayzmcgee,99.24%,78095,101,11022,29,654,705
11,ro,3219026,Rohulk,99.24%,34255,102,10819,39,1592,1746
12,us,256802,HappyStick,98.58%,167941,104,10817,132,2137,476
13,fr,251683,Musty,99.26%,99798,102,10756,108,1678,1291
14,fi,3110552,Sanze,99.18%,153091,101,10714,110,1359,1032
15,jp,4183454,-Zirba-,98.83%,78811,100,10655,40,828,807
16,us,2757689,Toy,99.43%,165586,103,10626,2666,2874,640
17,pt,4495871,Mizuru,99.08%,80649,101,10612,83,897,930
18,us,2614511,Axarious,97.24%,62671,101,10610,35,852,467
19,jp,1787027,Recia,98.86%,96765,103,10591,653,2606,172
20,cl,3069354,DanyL,97.28%,74559,101,10561,79,787,279
21,pl,2021758,Wilchq,99.31%,76719,105,10545,1145,3233,249
22,ru,1389663,talala,98.62%,186288,103,10524,127,2325,1476
23,no,84841,CXu,99.03%,103910,102,10513,864,3563,108
24,lt,2562987,Azerite,98.36%,50264,100,10509,22,334,693
25,sg,2003326,Emilia,96.31%,67229,100,10502,33,995,856
26,kr,3179601,Tarulas,98.84%,80298,101,10464,49,1067,514
27,pl,613592,Adamqs,99.37%,129030,102,10412,138,1577,897
28,cl,5339515,Mathi,98.64%,87033,101,10357,26,559,507
29,kr,1883865,Yaong,99.39%,95647,103,10288,444,1628,782
30,us,4650315,[Toy]s our boy,98.85%,36413,101,10242,14,441,356
31,cn,227717,Totori,97.96%,64845,101,10237,139,2139,946
32,pl,39828,WubWoofWolf,99.31%,203399,105,10130,6714,8527,1689
33,us,3099689,Xilver,99.54%,190306,104,10125,147,1348,686
34,br,1558603,MouseEasy,98.10%,109174,101,10105,233,1380,1055
35,nz,3934999,Ayachi Nene,99.14%,70884,101,10089,376,1336,527
36,jp,2148231,kuu01,98.43%,108611,101,10059,46,1142,1531
37,kr,948713,Reimu-Desu,99.40%,106133,102,10058,275,1775,559
38,ca,2155578,Azer,99.08%,74484,101,10018,192,1032,690
39,de,537084,DoKito,99.37%,67404,101,9966,105,1770,1342
40,us,3221564,i suck,98.20%,70639,100,9913,37,482,678
41,jp,1208858,Vettel,99.01%,209290,103,9912,303,1978,1059
42,kr,2258797,-Konpaku-,98.92%,73191,101,9899,67,1038,893
43,de,2438122,Beafowl,99.44%,96535,103,9897,290,856,343
44,us,3126596,Mlaw22,99.18%,83821,103,9877,193,2692,1228
45,fr,1545031,My Angel Serena,97.84%,111771,102,9847,151,1594,736
46,pl,27055,Salieri,98.82%,119796,101,9822,126,1851,1270
47,de,3542416,- Nikliu -,98.55%,66259,100,9798,39,930,658
48,ca,2051389,FunOrange,99.25%,69854,101,9766,145,1034,784
49,us,4852013,Monko2k,98.69%,49394,100,9695,64,1119,1266
50,cn,557197,Totoki,97.41%,114247,102,9691,233,3332,769
51,de,1500305,Neliel,98.66%,114134,102,9680,31,1422,644
52,tw,147515,Rucker,99.43%,166961,104,9635,3397,4237,648
53,de,1874761,hallowatcher,99.53%,93265,102,9596,113,1048,821
54,hu,6127312,aleho8,98.23%,41982,100,9584,20,726,760
55,es,903978,waaiiru,98.13%,139147,103,9575,98,1348,1181
56,fr,3213239,Yaong Loli,99.30%,108787,101,9566,120,926,901
57,fr,106269,Elysion,98.29%,90776,100,9559,34,776,1321
58,au,3068044,Dumii,97.88%,99441,101,9554,68,1094,1534
59,gb,2565902,MoeYandere,98.40%,97145,101,9550,17,1295,728
60,kr,1380419,Leaf,99.09%,67581,101,9547,227,3114,570
61,kr,1160923,kune259,97.44%,82718,100,9545,17,646,765
62,jo,464203,Akcel,98.93%,77895,100,9499,44,701,417
63,fr,718454,ThePooN,98.53%,66636,101,9487,45,744,517
64,br,2644700,Fenrir,99.44%,83141,103,9462,179,1973,451
65,gb,2232928,Spook,97.94%,97680,100,9426,115,1033,1190
66,jp,2121993,Mayoler,98.75%,107457,101,9409,158,2076,722
67,hk,1807167,Loli_Silica,98.42%,92056,102,9392,234,3077,862
68,sk,1770367,AtHeoN,99.16%,118400,102,9384,99,1699,674
69,au,3641404,uyghti,98.98%,121623,101,9378,104,886,889
70,hk,126144,DenierNezzar,98.64%,116384,102,9376,92,1992,1193
71,mx,6169483,-Hebel-,99.22%,79640,101,9360,104,1141,371
72,gb,960620,bahamete,98.66%,96751,101,9360,162,1005,460
73,fr,1093361,Kynan,98.72%,171527,101,9350,80,1827,1650
74,ca,3181676,Identical,99.25%,59179,101,9346,125,848,610
75,ca,4581715,Dunois,99.04%,91891,101,9345,153,1324,1062
76,cn,954557,EmertxE,98.26%,135719,102,9341,33,1558,986
77,sg,4758982,Plz Enjoy Game,97.41%,81169,100,9336,303,2750,2044
78,us,1855540,Smoothie World,98.66%,74581,100,9335,104,825,1366
79,ru,4170932,Red_Pixel,98.90%,81310,101,9332,32,610,651
80,kr,2933416,uvrv,98.32%,72417,101,9330,59,1330,639
81,pl,4163860,Piggey,98.82%,104249,101,9327,86,1464,640
82,jp,1126229,zeluaR,99.13%,143181,101,9308,473,2300,100
83,kr,946990,Meltina,99.13%,102049,103,9300,159,1831,735
84,cn,1266166,Dsan,99.23%,132205,103,9285,648,3465,640
85,gb,4196808,Karthy,98.99%,60655,101,9270,86,1136,1531
86,be,2678448,DenObscure,98.53%,105195,101,9238,136,1938,1009
87,jp,1688846,Emperorpenguin83,99.19%,108674,102,9228,195,2375,1006
88,jp,2538125,Yazone,99.02%,86010,101,9219,147,1336,952
89,pl,1549620,r0ck,98.99%,105331,101,9209,259,2636,914
90,no,3551255,Afrodafro,99.01%,76510,101,9204,56,572,620
91,at,2323131,Fedora Goose,98.54%,126167,102,9200,57,1218,625
92,us,1650010,Aireu,98.50%,120667,101,9199,381,1609,443
93,jp,1644514,hshs,98.99%,137321,102,9182,217,2091,933
94,kr,2034211,Interrobang,97.93%,71165,100,9144,74,942,744
95,es,2205189,Jack of Blades,99.50%,66716,101,9142,276,1171,171
96,pl,844815,AmaiHachimitsu,98.85%,199447,103,9128,86,1620,538
97,fi,1770462,isokasapupuja,99.05%,125677,101,9115,147,1493,938
98,kr,1451035,SilveRain,98.43%,93862,100,9110,672,1753,638
99,kr,70863,La Valse,98.69%,49475,101,9105,351,4410,508
100,ca,4916057,Stoof,98.88%,60810,101,9089,64,725,1017
101,nl,1540807,jackylam5,98.22%,99057,101,9083,132,2030,780
102,jp,1884516,-HERO-,98.69%,160331,101,9079,142,854,765
103,gb,5182050,Bubbleman,98.88%,63614,101,9074,69,664,1020
104,tw,887924,[ DANIEZ ],98.38%,129588,102,9059,220,2644,538
105,jp,559998,oxycodone,97.65%,191317,101,9058,62,1185,1081
106,gb,18983,Doomsday,98.06%,253795,105,9046,893,6484,1223
107,kr,4643294,Runa,99.04%,44865,100,9046,238,842,641
108,us,1545019,-Archangel-,98.09%,105666,102,9041,181,2023,1167
109,ve,2243452,Satoruu,99.43%,49245,101,9032,285,1185,595
110,dk,3722715,Zog,99.32%,102821,101,9028,101,946,890
111,de,2022445,imagaK,98.66%,100307,102,9023,246,2346,887
112,us,4170037,Astana,98.59%,74626,101,9014,16,643,566
113,tw,5155973,Rizer,99.40%,69627,101,9005,1200,2929,434
114,de,1856829,Firstus,98.84%,66357,102,9003,148,2171,1177
115,jp,4535785,Saimonea,98.84%,66991,100,9003,208,637,193
116,jp,343865,Gokuri,99.06%,101482,102,9000,192,1517,1031
117,gr,3638005,Riven,99.24%,137699,101,9000,73,983,935
118,us,3533958,fieryrage,97.26%,50228,101,8987,64,1033,700
119,kr,2932923,harunaruna,98.55%,113021,102,8980,133,1241,641
120,dk,2114273,Mayoi Hachikuji,98.57%,136901,101,8964,88,1236,1208
121,us,3441616,Clarity,98.94%,78031,100,8959,246,1269,303
122,br,4663554,Zekker,98.92%,45127,101,8950,356,328,290
123,au,2671317,[ ZhengS ],97.67%,126145,101,8942,36,1019,716
124,kr,4133758,Faics,99.37%,12422,100,8939,121,733,624
125,gb,4407567,Wookiezi,98.72%,62699,100,8938,73,478,631
126,il,3382084,Kyoko,98.94%,81843,100,8929,241,582,441
127,us,3985234,Avenging_Goose,99.27%,48491,101,8921,91,679,611
128,mk,3909629,MetoA,98.68%,60209,101,8918,90,981,727
129,kr,713266,sayonara-bye,98.78%,111129,102,8911,182,2280,788
130,fi,3123423,Hyppyri,99.00%,109269,100,8907,92,1146,1481
131,us,2266860,Mrotaku,98.93%,64825,101,8904,64,1101,581
132,kr,1203216,Yellow,98.80%,85678,101,8900,74,983,454
133,us,492699,Kaoru,99.20%,143917,102,8896,275,3627,2561
134,gb,1986262,Castiel,99.00%,52579,101,8893,189,2454,983
135,kr,903167,My Aim Trash,99.35%,149066,102,8893,198,1546,1563
136,hu,4142446,legekka,99.02%,58716,100,8890,145,903,822
137,ru,4607565,Zavarka,98.39%,122448,101,8889,407,1535,907
138,kr,3478883,Sequence,96.58%,55301,101,8877,59,1194,418
139,nl,2167433,Pittigbaasje,99.12%,60847,101,8874,79,1106,507
140,us,1028387,Ritzeh,98.85%,80928,101,8854,94,1616,705
141,ca,3687489,ChronoTrig,98.70%,123198,101,8853,113,1308,735
142,de,846038,Splinter572,98.89%,182653,102,8833,674,1704,731
143,us,3328676,Seouless,98.72%,147433,102,8830,58,1442,830
144,ca,2866814,MiruHong,99.21%,114037,102,8823,267,766,441
145,kr,5979619,NNAisle,99.12%,50002,100,8817,30,484,701
146,no,3990173,Sebu,98.82%,141905,102,8800,24,968,848
147,th,1427407,- Phantasma -,98.17%,78513,101,8798,139,1401,965
148,ca,3877775,Puffydaddy,99.26%,67839,101,8797,24,719,1248
149,jp,1978650,Sakurai Momoka,98.77%,76527,101,8793,242,2261,1040
150,jp,3345902,Yakisoba_Pan,98.96%,145359,101,8789,434,1454,958
151,de,2282047,Risiing,99.18%,82236,101,8786,134,905,475
152,jp,2197482,Twintail,99.18%,93455,101,8782,2135,1146,122
153,sg,2312106,GSBlank,98.94%,93374,102,8782,45,2399,1590
154,gb,2245830,FlowR,99.21%,121969,101,8776,123,1115,765
155,ph,6466331,Anzu Takakura,98.79%,86410,100,8770,19,402,565
156,mx,2484629,Broodich,99.10%,181302,102,8767,696,2957,2251
157,de,1164526,BDDav,99.39%,112317,101,8757,409,1601,280
158,lv,2891792,Emula,99.04%,92812,102,8739,129,2044,576
159,kr,2823991,quickly die,99.10%,86548,101,8738,156,1623,1086
160,ar,756068,Serena,99.37%,70796,101,8734,641,953,411
