rank,country,uid,name,accuracy,play count,level,pp,SS,S,A
93,us,3533958,fieryrage,97.41%,50614,101,9200,64,1037,701
94,jp,1644514,hshs,98.99%,137597,102,9184,217,2093,936
95,kr,2034211,Interrobang,97.93%,71173,100,9144,74,943,745
96,es,2205189,Jack of Blades,99.50%,66716,101,9142,276,1171,171
97,gb,5182050,Bubbleman,98.90%,64043,101,9141,69,666,1021
98,pl,844815,AmaiHachimitsu,98.85%,199641,103,9128,86,1622,537
99,fi,1770462,isokasapupuja,99.05%,125677,101,9115,147,1493,938
100,kr,1451035,SilveRain,98.43%,93862,100,9110,672,1753,638
101,gb,18983,Doomsday,98.08%,254190,105,9108,893,6495,1222
102,kr,70863,La Valse,98.69%,49761,101,9106,351,4413,508
103,ca,4916057,Stoof,98.87%,61176,101,9091,64,729,1022
104,nl,1540807,jackylam5,98.22%,99064,101,9083,132,2030,781
105,jp,1884516,-HERO-,98.69%,160472,101,9079,142,854,766
106,tw,5155973,Rizer,99.42%,69852,101,9061,1202,2945,435
107,tw,887924,[ DANIEZ ],98.38%,130008,102,9061,220,2661,542
108,jp,559998,oxycodone,97.65%,191317,101,9058,62,1185,1081
109,kr,4643294,Runa,99.04%,44865,100,9046,238,842,641
110,dk,3722715,Zog,99.33%,103477,101,9045,101,949,894
111,us,1545019,-Archangel-,98.09%,105819,102,9042,181,2027,1169
112,kr,4488109,By_Aki,99.46%,10932,99,9036,18,278,140
113,ve,2243452,Satoruu,99.43%,49245,101,9032,285,1185,595
114,de,2022445,imagaK,98.67%,100512,102,9025,246,2350,891
115,ca,2866814,MiruHong,99.26%,114619,102,9021,267,766,442
116,kr,713266,sayonara-bye,98.80%,111470,102,9017,182,2291,787
117,us,4170037,Astana,98.59%,74676,101,9014,16,642,566
118,kr,4133758,Faics,99.37%,12549,100,9008,123,737,631
119,de,1856829,Firstus,98.84%,66540,102,9005,150,2185,1185
120,jp,4535785,Saimonea,98.84%,66991,100,9003,208,637,193
121,gr,3638005,Riven,99.24%,138033,101,9001,73,983,945
122,jp,343865,Gokuri,99.06%,101482,102,9000,192,1517,1030
123,kr,2932923,harunaruna,98.55%,113021,102,8980,133,1241,641
124,us,3985234,Avenging_Goose,99.27%,48796,101,8977,100,690,626
125,il,3382084,Kyoko,98.94%,82204,100,8977,241,584,442
126,dk,2114273,Mayoi Hachikuji,98.57%,137148,101,8965,88,1240,1208
127,us,3441616,Clarity,98.94%,78144,100,8959,246,1269,304
128,br,4663554,Zekker,98.92%,45451,101,8952,357,332,290
129,au,2671317,[ ZhengS ],97.66%,126282,101,8943,36,1019,718
130,gb,4407567,Wookiezi,98.72%,62746,100,8938,73,478,636
131,ru,4607565,Zavarka,98.42%,123415,101,8931,408,1540,911
132,mk,3909629,MetoA,98.68%,60295,101,8918,90,981,729
133,au,7260014,Korilak,99.23%,49240,100,8915,31,362,421
134,hu,4142446,legekka,99.03%,59022,100,8914,145,909,820
135,fi,3123423,Hyppyri,99.00%,109332,100,8913,92,1148,1482
136,us,2266860,Mrotaku,98.93%,64825,101,8904,64,1101,581
137,kr,1203216,Yellow,98.80%,85678,101,8900,74,983,454
138,us,492699,Kaoru,99.20%,144282,102,8897,275,3633,2566
139,gb,1986262,Castiel,99.00%,52708,101,8893,189,2456,988
140,kr,903167,My Aim Trash,99.35%,149069,102,8893,198,1546,1563
141,nl,2167433,Pittigbaasje,99.08%,61013,101,8887,79,1109,508
142,bz,3517706,[ Zane ],98.72%,114367,101,8883,116,1906,907
143,kr,3478883,Sequence,96.59%,55505,101,8882,59,1198,421
144,de,2282047,Risiing,99.20%,82426,101,8880,134,908,476
145,nl,4858573,Syph,98.95%,60629,100,8879,30,509,1084
146,us,1028387,Ritzeh,98.85%,80928,101,8854,94,1616,705
147,ca,3687489,ChronoTrig,98.70%,123453,101,8854,113,1310,735
148,de,846038,Splinter572,98.89%,182912,102,8834,675,1707,732
149,us,3328676,Seouless,98.72%,147839,102,8830,58,1442,835
150,ca,3146018,karalis,98.40%,77153,100,8830,49,1008,789
151,kr,5979619,NNAisle,99.12%,50002,100,8817,30,484,701
152,no,3990173,Sebu,98.82%,142395,102,8800,24,966,854
153,th,1427407,- Phantasma -,98.17%,78694,101,8798,139,1403,966
154,ca,3877775,Puffydaddy,99.26%,67859,101,8797,24,719,1252
155,jp,1978650,Sakurai Momoka,98.77%,76542,101,8793,243,2261,1040
156,jp,3345902,Yakisoba_Pan,98.96%,145373,101,8789,434,1454,958
157,sg,2312106,GSBlank,98.94%,93609,102,8782,45,2411,1603
158,jp,2197482,Twintail,99.18%,93462,101,8782,2135,1146,123
159,gb,2245830,FlowR,99.20%,122745,101,8781,123,1119,767
160,mx,2484629,Broodich,99.10%,181972,102,8772,696,2961,2259
161,ph,6466331,Anzu Takakura,98.79%,86777,100,8770,19,404,566
162,de,1164526,BDDav,99.39%,112449,101,8759,409,1602,280
163,fr,3117824,My Angel 2B,98.76%,80932,100,8755,27,512,420
164,lv,2891792,Emula,99.03%,93193,102,8750,129,2060,580
165,kr,2823991,quickly die,99.10%,86576,101,8738,156,1623,1086
166,ar,756068,Serena,99.37%,70837,101,8734,641,953,411
167,kr,2043401,Enon,99.20%,102391,102,8727,178,1782,1002
168,fr,4115408,ExLeaF,98.31%,69531,100,8727,56,685,576
169,lt,2639159,Shelbis,98.70%,60693,100,8726,34,661,703
170,ph,1587999,Mira-san,98.49%,67170,100,8715,165,980,216
171,cn,1597068,MeiMei,99.11%,32185,100,8711,16,401,287
172,kr,526851,Qu1z,97.77%,65054,100,8688,34,540,858
173,ca,2601166,Toke,98.49%,278550,102,8685,78,1393,1534
174,kr,832084,Neta,99.19%,89566,103,8677,253,3109,197
175,ar,2367825,Toushi,99.11%,78691,100,8670,51,887,847
176,nz,3833980,yellowy246,98.92%,82282,101,8669,191,977,796
177,cl,2319238,pyon,98.67%,91869,102,8668,246,1848,690
178,kr,3938876,eoehd1ek,97.95%,68764,101,8668,270,1863,477
179,jp,2477878,Sheba,99.19%,107182,104,8667,1404,1752,1
180,at,939213,NuHaru,97.89%,36132,100,8665,17,976,709
181,de,4151585,cmnk,98.64%,74416,100,8661,100,922,849
182,us,2370889,Touchette,98.05%,60685,100,8661,44,1019,497
183,kr,2770796,w1sp,97.95%,19280,100,8653,19,419,481
184,id,1578073,gbs tap,99.35%,74502,100,8650,250,1759,596
185,hu,2295787,scuoa,99.28%,65675,102,8645,167,1625,971
186,hk,2286528,- G I D Z -,98.46%,127486,102,8644,165,1863,771
187,ru,637168,SoMad,98.82%,87722,101,8643,39,1484,1374
188,ph,6244066,HaruTachi-,98.45%,34766,100,8642,6,390,843
189,hk,1226106,Akiko-,97.82%,109643,101,8641,162,2050,421
190,pl,56917,fartownik,99.15%,253135,103,8639,128,2373,1133
191,ee,5527745,Abyssal,98.70%,78958,100,8637,46,576,574
192,ar,1887616,Lexalia,98.55%,67146,101,8636,112,1096,607
193,br,1451811,Sooki,98.42%,115194,101,8634,22,963,1114
194,fi,4773855,Maffe,98.92%,55623,100,8632,90,988,1024
195,fi,4982095,Sakke,98.34%,61012,100,8627,14,297,194
196,jp,487985,gasanww,99.56%,189684,102,8622,983,3714,85
197,de,2909663,MarthXT,98.25%,96281,101,8619,331,1774,1339
198,tw,959763,Flask,97.87%,51695,100,8617,107,1511,1002
199,cn,1343504,SpringLane,98.36%,69089,101,8614,66,2367,685
200,it,4448118,Koba,99.43%,160176,102,8613,320,1262,836
201,se,4991464,Chronomarly,99.21%,76442,101,8609,202,621,262
202,de,2070822,W3SON,98.97%,44327,101,8598,130,1598,996
203,gb,3915122,Woffel,99.47%,73000,101,8598,85,513,1247
204,jp,352328,rrtyui,98.75%,171844,101,8597,311,1229,659
205,at,5302223,Myst1k,98.82%,84608,101,8593,91,1172,960
206,no,3145033,Hundur,98.89%,100270,101,8589,49,824,1436
207,kr,1334384,T A K A O,99.08%,75773,100,8588,142,819,1229
208,br,209664,fabriciorby,98.95%,86569,101,8583,701,1347,65
209,jp,1066760,OhAHO,98.67%,159607,101,8577,199,1582,1285
210,jp,360552,Sinch,98.82%,95150,103,8568,549,3799,638
211,ca,2694475,Kyle,98.68%,95579,100,8560,9,852,1002
212,lt,4692344,Haganenno,99.03%,74643,101,8558,138,782,654
213,tw,606544,My Angel Haruna,96.83%,90427,101,8552,25,1280,457
214,de,2106534,Koni Kinmo,98.76%,43823,100,8551,58,1016,1206
215,il,2787415,MrPotato,98.87%,115572,102,8550,121,1327,868
216,kr,2556958,ReaL motion,99.31%,121526,103,8548,124,1968,1118
217,tw,1749413,[ Jewel Yuki ],97.64%,73738,100,8544,35,787,838
218,ca,3216875,Arcadeas,99.27%,83562,101,8542,37,684,812
219,kr,4678615,Mizarr,97.09%,62345,100,8539,59,749,522
220,cn,2159014,Sarasa,98.28%,44384,100,8523,24,557,468
221,jp,613953,Cien,98.57%,107627,101,8521,271,2679,438
222,at,1145984,Alumetorz,99.30%,89227,102,8521,89,1128,500
223,gb,2415743,Jameslike,98.75%,48670,101,8520,68,1137,538
224,jp,707242,yuilemo,98.90%,33604,101,8505,60,895,544
225,au,2197474,Yuiteru,98.49%,85639,100,8502,48,776,378
226,tw,952751,Small K,98.67%,110511,101,8499,267,3707,659
227,de,3678808,FriendoFox,99.20%,90034,101,8494,133,860,827
228,it,3614356,-Kazuki-,98.96%,116957,101,8483,533,1450,994
229,us,4843831,TheKid217,99.50%,84429,101,8476,626,1206,959
230,jp,3074650,Constelletion,98.96%,153533,102,8475,83,1336,965
231,de,3256299,Epiphany,99.49%,52370,101,8475,134,799,997
232,fr,1019489,Worne,99.43%,134411,102,8474,1052,2934,248
233,no,2841744,Warrock,99.10%,83361,101,8472,203,1345,1297
234,se,2734971,Benud,97.60%,62114,100,8472,6,242,440
235,kr,1414625,Cinia Pacifica,98.34%,54994,102,8468,63,1416,436
236,kr,4600341,Happy New Year,98.87%,70132,101,8461,630,1733,147
237,fr,4064914,Saizu,99.24%,85797,101,8461,33,998,1100
238,us,3077037,Yuza,99.00%,65321,101,8459,43,911,502
239,mx,3233957,Psycopath-,98.51%,146080,101,8454,21,750,799
240,pe,2291265,Arnold24x24,98.87%,86205,100,8446,228,1076,815
241,cn,2896273,Far_Q,98.76%,131868,103,8445,51,1655,884
242,kr,1856728,OsunMoM-,98.89%,63450,100,8443,125,1173,492
243,se,4628308,kawaine,98.16%,60262,100,8441,7,250,399
244,bg,1622883,chugleader,97.79%,152686,101,8439,123,1119,899
245,cn,1122052,My Angel Runa,99.00%,104507,102,8427,188,2449,613
246,kr,4224060,Tosino Kyoko,98.81%,53397,100,8424,177,1403,581
247,jp,2284721,-Zelos-,98.81%,81251,101,8413,197,1667,1000
248,ca,4323406,VINXIS,98.70%,70872,101,8407,36,917,1046
249,kr,2190336,Pray,95.05%,96747,102,8405,19,2045,681
250,ru,4342841,Aden,98.04%,82012,101,8403,25,896,973
251,cn,1030696,[ZN],98.52%,140611,101,8403,57,1234,1129
252,us,4497691,Fangzy,98.92%,77619,100,8382,321,2076,945
253,us,3923278,Boggles,98.01%,58636,101,8380,90,1168,742
254,pl,1661517,Van Darkholme,98.76%,74673,101,8378,72,1206,815
255,cn,629717,GGBY,98.50%,182437,105,8375,1497,12424,219
256,lv,2842992,Jesus[Krists],98.85%,71705,101,8373,36,819,644
257,de,495272,cptnXn,99.19%,98595,102,8373,97,1138,565
258,tw,286740,Koalazy,96.82%,106642,102,8366,333,2526,517
259,us,2803031,Vinsu,98.56%,58651,100,8362,71,831,581
260,fi,475021,thelewa,99.38%,169068,103,8356,933,3943,1007
261,ru,5014197,My Angel DanyL,97.88%,88947,100,8353,16,373,677
262,no,895581,-GN,97.40%,109771,102,8353,128,1133,663
263,dk,2533400,Cerkie,99.15%,118902,101,8350,308,1206,948
264,us,3251373,xElectroGH,98.75%,58477,100,8350,108,778,653
265,au,1881685,Bauxe,98.50%,78649,101,8349,147,2437,851
266,fr,1572405,My Not,98.47%,112637,102,8347,136,2415,1461
267,id,2454767,gbs aim,98.85%,51242,100,8344,51,705,738
268,au,5113781,ithgyu,99.17%,50579,101,8337,32,845,1042
269,dk,6295380,iamVill,98.27%,38023,100,8332,12,420,367
270,pl,4743869,Alieen,98.83%,76030,100,8332,13,619,731
271,kr,4374853,AAA,98.92%,104199,103,8331,234,2008,89
272,us,3096229,Zodiaack,99.07%,83054,102,8326,127,2431,1766
273,lu,2742030,Kuronora,98.72%,113067,101,8319,108,1543,786
274,kr,4746949,[C u r i],98.59%,57827,101,8316,121,965,603
275,jp,4220317,moguosu,96.66%,32459,100,8315,30,673,599
276,jp,2309855,moca,99.11%,31139,100,8312,233,1267,396
277,cn,560228,Toshinou Kyouko,98.87%,66658,101,8312,136,2369,663
278,ee,2064445,Tiger Claw,98.05%,109298,101,8311,39,958,1158
279,gb,4361729,Wario,99.19%,77569,100,8311,155,940,1332
280,hk,1639250,YoonA-,99.03%,77924,101,8310,134,1080,585
281,cn,551450,oohily,98.68%,82408,101,8310,109,3016,1116
282,us,4194445,Apraxia,98.90%,81479,100,8309,87,718,1244
283,at,2253511,Elscar,99.38%,95467,101,8305,427,1154,232
284,ru,2408278,unberlin,98.91%,118288,101,8297,52,1109,1344
285,jp,733878,B e N i,99.11%,157525,102,8294,517,2381,778
286,it,3516241,mrspazzaneve17,98.96%,50561,101,8294,251,1199,620
287,de,1118341,Jonimay,98.14%,119499,101,8292,88,1383,1312
288,cz,3574151,Orbi,99.00%,94075,101,8291,72,1281,477
289,at,1426098,Shirone,98.78%,81186,101,8290,104,1110,521
290,nz,1266102,shortpotato,98.96%,40695,101,8285,166,1358,835
291,jp,4039773,Nakocchi,98.69%,54425,101,8280,299,1796,1248
292,us,2162669,Natalia,99.03%,36827,101,8278,128,1198,1017
293,uy,4152967,Rekaru,99.41%,72689,101,8278,214,1126,691
294,jp,2060046,saikurondark,98.95%,70497,100,8276,10,389,295
295,cn,1463343,Doma Umaru,97.82%,119874,101,8274,86,2355,1010
296,us,5387798,Shiorii,99.24%,65323,100,8271,727,559,653
297,us,1064536,PizzaLovers007,99.07%,25723,101,8270,30,812,700
298,my,2681361,ClawViper,99.06%,53876,101,8268,233,2457,154
299,cz,6602580,- Daichi -,99.19%,63796,100,8264,98,692,1242
300,fi,2867764,nycto,98.34%,126292,101,8263,33,892,919
301,fr,3281136,Haynoru,99.33%,112473,101,8256,74,2836,1626
302,us,4230827,theez35,99.30%,32582,100,8256,6,244,208
303,se,2930683,_---_,99.57%,99793,101,8254,128,822,858
304,gb,6331918,Mongoose-,98.16%,68704,100,8249,39,784,1132
305,de,2766034,Umbre,99.17%,104337,100,8247,157,696,1074
306,pl,3446664,SpajdeR,98.98%,112778,102,8244,173,1453,478
307,pl,2259709,No01,98.33%,138557,101,8233,169,1784,988
308,jp,3545547,Tetla,98.75%,117903,103,8229,581,1343,278
309,se,809983,Slizzer,98.92%,77879,101,8227,116,1967,1252
310,nz,1488796,buny,98.66%,95529,101,8226,9,737,518
311,us,3814776,-SoMoE-,98.43%,91528,100,8224,37,760,278
312,us,4680149,im bad,98.96%,87727,100,8222,25,511,594
313,jp,2429055,Sablestars,99.47%,62932,100,8212,51,791,376
314,kr,4098646,[Lunatic Bell],98.22%,120476,101,8209,20,990,555
315,de,686093,renoxz,99.38%,83152,101,8207,92,740,1116
316,us,2792595,GHAngeloid,99.08%,125433,102,8204,149,2285,640
317,tw,1810239,CrtReXn,98.81%,87622,101,8200,128,1641,1530
318,au,4882979,Dereban,97.75%,73098,100,8200,67,646,778
319,fr,3872987,-raizen-,99.04%,102392,101,8200,19,833,734
320,kr,467010,[KOR]ArtRaid,97.15%,52240,100,8198,201,1555,884
321,my,414427,xsrsbsns,99.11%,78054,102,8197,1789,3076,299
322,us,2644828,he rack,98.09%,76921,101,8189,64,974,781
323,cn,2522197,hyheleh,98.59%,80230,101,8187,54,1622,1111
324,kr,1533041,- Tea -,96.86%,98178,100,8180,15,421,687
325,kr,2006663,Crystal-,98.13%,61161,101,8179,240,2157,919
326,jp,1014222,eLy,98.81%,178455,103,8175,229,3855,1631
327,kr,385069,ruexia,97.69%,88723,100,8170,6,420,509
328,pl,1837989,MrBooM,98.55%,42636,100,8168,14,622,442
329,se,2686293,WORSTPOLACKEU,98.33%,64849,100,8165,27,693,648
330,jp,589550,Mercurius,99.33%,197278,104,8165,1534,4770,462
331,de,3341040,TobiGH3,98.63%,44855,101,8158,31,744,529
332,at,4601608,Spark-desu,98.40%,70042,100,8152,12,698,593
333,kr,843086,Resia,97.02%,68542,100,8151,43,1391,706
334,kr,4772355,ToLove,99.04%,52341,100,8147,120,764,406
335,ua,1163931,FllareA,98.64%,96489,101,8146,23,1193,1084
336,br,5295743,Arnbition,99.15%,59113,100,8142,15,728,336
337,cl,2748187,Danidesu,98.22%,53789,100,8141,29,443,706
338,ca,2012453,PikaPwn,99.29%,49546,100,8136,98,840,763
339,fr,3578303,Shinkei93,97.57%,42758,100,8124,0,322,196
340,cn,2849992,Garden,98.80%,39641,102,8116,704,3289,94
341,us,3171691,BeasttrollMC,98.87%,58214,100,8114,25,633,440
342,jp,4260383,Komaa,98.12%,103180,100,8112,225,802,130
343,mx,4497582,-Wolfy-,98.56%,56688,100,8109,140,1166,726
344,ru,5887647,LilDoc,97.97%,84712,101,8108,60,1274,983
345,gb,4117142,OPJames,98.96%,64909,101,8098,43,720,860
346,pl,4030832,kutafix,98.98%,60907,100,8091,18,237,433
347,au,1055634,Icyteru,99.26%,92336,101,8089,48,1135,742
348,kr,2000416,[Chiyo],97.79%,79768,101,8089,209,1515,680
349,us,3929529,mniminwoo,98.96%,103477,101,8085,91,1107,1104
350,jp,786579,Yacos,97.73%,88946,100,8085,18,796,1765
351,jp,756273,TaNaBaTa,98.83%,107381,101,8084,185,1736,1387
352,sg,1893953,Nakano-,98.93%,155301,103,8079,600,2932,151
353,nl,5258565,Chidori,99.45%,32794,100,8079,97,482,221
354,at,3656589,Akane-Yuki,98.73%,45736,100,8067,72,969,589
355,br,5403374,Niii-san,99.11%,59632,100,8062,40,527,523
356,br,2290888,Mirtrax,98.47%,67119,101,8061,15,583,495
357,pl,4099626,NeBuSC2,98.76%,60578,101,8061,508,1460,259
358,tr,3200014,Rekia,97.91%,51942,100,8061,18,579,461
359,ca,2463971,younited,99.31%,36647,100,8059,39,627,261
360,ar,2212941,Pein,98.97%,92736,102,8057,171,1817,823
361,us,1629059,Broccoly,98.01%,77194,101,8054,25,1110,862
362,my,3995630,Rampax,98.37%,113692,101,8039,17,750,1316
363,pl,3526708,Zabijaka,98.80%,103737,100,8034,96,1064,800
364,kr,7058132,_AvA,98.62%,54037,100,8033,118,581,642
365,ru,3973474,follon,98.88%,74733,101,8031,257,757,607
366,gb,846235,koki,97.86%,94733,101,8030,72,911,788
367,cn,672726,MatsumotoRise,99.02%,53003,101,8026,96,1681,1031
368,rs,3537949,smiljko,99.05%,51065,100,8021,41,708,655
369,cn,2451651,Kafuu Chino,98.95%,79401,101,8015,45,844,440
370,ca,622485,Bowlglet,98.77%,63022,101,8013,47,762,534
371,hk,4787843,Koltaylolz,99.11%,45665,100,8012,122,1576,992
372,th,2484984,FatalxE,99.26%,48191,100,8012,340,528,791
373,it,617323,Chewin,99.10%,146790,102,8012,425,5830,856
374,kr,2146286,Urania,98.97%,78287,100,8012,28,579,654
375,jp,1448729,momotayan,98.71%,36756,100,8010,193,1581,394
376,kr,6506107,Rhythm blue,98.39%,45484,100,8006,3,582,605
377,pl,4317480,Malolat,99.14%,56950,100,8005,32,445,469
378,jp,462601,Rean-K,98.07%,50159,100,8004,21,1049,581
379,ca,6304246,[ Aegis ],98.25%,48570,100,8003,19,592,453
380,gb,1438509,Kardet,98.84%,77569,101,8003,160,1862,1138
381,fr,1049999,Myko,98.77%,41434,100,8002,15,436,565
382,se,2736959,Aphromoo,98.93%,51567,100,8002,146,1375,1110
383,br,1565856,Ashtar,99.12%,65259,102,7998,104,1769,200
384,jp,91738,Guy,99.28%,144101,102,7996,1524,3259,836
385,kr,625988,Yuria,99.35%,115584,102,7994,2307,1591,1071
386,jp,2735250,AngelAsahi,96.10%,115503,100,7993,88,1092,704
387,jp,1970239,Super Arrow,97.27%,82474,101,7993,52,1536,1007
388,it,1852356,Kirin,98.73%,91505,101,7991,82,1031,726
389,fi,926370,Regnall,99.41%,109409,102,7984,417,2088,651
390,tw,1843469,little Agile,99.41%,85969,102,7970,837,3161,721
391,us,4263943,Leotic,98.56%,54130,101,7966,173,3234,972
392,ca,2417147,[ BJ ],99.00%,83673,101,7966,218,1651,702
393,us,5701369,diciestaking,98.99%,56646,100,7965,68,1205,700
394,jp,3987661,kaminogi,98.06%,44774,100,7963,54,892,599
395,dk,2678812,Tona,98.94%,110694,101,7959,61,1577,1358
396,kr,5623417,Lolisim,99.39%,73464,100,7952,223,962,499
397,ae,2132093,ebc123,98.31%,140123,101,7952,40,1072,931
398,hk,4007897,obtio,98.71%,80548,100,7951,44,714,775
399,nl,2715937,Ahmnesia,99.28%,59862,101,7951,83,931,919
400,cn,350723,wobeinimacao,98.88%,161035,103,7947,93,3757,296
401,no,3213014,Cocaine dog,98.30%,86873,100,7944,38,591,547
402,sk,1285945,PeteX,98.13%,92991,101,7943,123,1797,1036
403,ru,1568047,Hasawa Kraenes,98.12%,68305,101,7939,1,922,948
404,us,3530678,[ G h o s t ],98.75%,54626,100,7934,121,1248,1207
